,API Name,Api Url,Api Description,Api Category
38,Atlas of Living Australia Taxonomy Name Matching API,/api/atlas-living-australia-taxonomy-name-matching," The Atlas of Living Australia Taxonomy Name Matching API provides a way to match scientific names to taxon concepts. The Atlas of Living Australia is a collaborative, national project that...", Australian
39,Alpaca Trade API,/api/alpaca-trade," The Alpaca Trade API delivers a REST-based interface that connects applications with a real-time brokerage service. The API is used to access account information, orders, positions, assets, and more...", Stocks
40,Hawker API,/api/hawker," The Hawker API allows developers to locate hawker centres (or food centres) in Singapore. API users can search for food centres by name or postal code. The API returns the name of the food centre,...", Food
41,Email List Validation API,/api/email-list-validation, The Email List Validation API allows developers to test and validate lists of email addresses in bulk on their website or application in order to remove dangerous or invalid email accounts. The API..., Email
42,AirGMS API,/api/airgms, The AirGMS API unifies the data of multiple Airbnb rentals' listings in one software. Developers can authenticate with token and work with JSON format to make calls to the endpoints that include..., Rentals
43,Vericred API,/api/vericred," The Vericred API returns health insurance data including medical plans, dental plans, vision plans, coverage, drugs, networks, and providers. Developers can authenticate the REST API with API Key to...", Healthcare
44,TV Listings API,/api/tv-listings," The TV Listings REST API provides XML, JSON, CSV or HTML data related to Canadian TV broadcasts. The API returns statistics, schedules, and summaries. TV Listings is an effort to aggregate television...", TV
45,Category,/category/all/apis?page=486&order=field_article_primary_category&sort=asc,N/A,N/A
46,CrazyCall API,/api/crazycall," CrazyCall is a user-friendly call center software which makes it easy to make and take calls from clients, analyze them and optimize call campaigns in real-time. It is an is an easy to use cloud-...", Sales
47,Atlas of Living Australia Regions API,/api/atlas-living-australia-regions," The Atlas of Living Australia Regions API is a Explorer web service to explore a region from a predefined set of regions or custom region. This includes state, territory, local governments, bio...", Australian
48,Atlas of Living Australia Dashboard API,/api/atlas-living-australia-dashboard, The Atlas of Living Australia Dashboard API is a Dashboard web service for giving data breakdowns across a range of applications. The Atlas of Living Australia web service allows you to gather..., Australian
49,Atlas of Living Australia NSL API,/api/atlas-living-australia-nsl," The Atlas of Living Australia NSL API is a National Species Lists web service for retrieving taxon concepts, names, publications and references. The Atlas of Living Australia web service allows you...", Australian
50,Atlas of Living Australia Lists API,/api/atlas-living-australia-lists," The Atlas of Living Australia Lists API is a species web service for for creating and editing lists of taxa. The Atlas of Living Australia web service allows you to gather species data of wildlife,...", Australian
51,Atlas of Living Australia Collectory API,/api/atlas-living-australia-collectory, The Atlas of Living Australia Collectory API is a registry web service for interacting with attribution information. The Atlas of Living Australia web service allows you to gather species data of..., Australian
52,Figma Web API,/api/figma-web," The Figma Web API allows developers to connect their apps, websites, and internal tools directly to Figma's real-time state of design. Figma is a browser-based interface design tool, created to...", Application Development
53,Atlas of Living Australia DigiVol API,/api/atlas-living-australia-digivol," The Atlas of Living Australia DigiVol API is a crowdsourcing web service for the volunteer portal. The Atlas of Living Australia web service allows you to gather species data of wildlife, plants and...", Australian
54,Atlas of Living Australia Layers API,/api/atlas-living-australia-layers, The Atlas of Living Australia Layers API is an intersect web service for interacting with geospatial layers and provides spatial search capabilities. The Atlas of Living Australia web service allows..., Australian
55,Atlas of Living Australia BIE API,/api/atlas-living-australia-bie," The Atlas of Living Australia BIE API provides search web services for species data, names and profiles. The Atlas of Living Australia web service allows you to gather species data of wildlife,...", Australian
56,Category,/category/all/apis?page=487&order=field_article_primary_category&sort=asc,N/A,N/A
57,Expeditors Shipment Tracking API,/api/expeditors-shipment-tracking," The Expeditors Shipment Tracking API returns shipment information, tracking references and event milestones in JSON format. Developers can authenticate with OAuth2. Best practices include: RESTful...", Shipping
58,Football Prediction API,/api/football-prediction," The Football Prediction API allows developers to get predictions for upcoming football (soccer) matches, results for past matches, and performance monitoring for statistical models. Available match...", Sports
59,Twitter Account Activity Enterprise API,/api/twitter-account-activity-enterprise," This Account Activity Webhooks API provides Enterprise services that allow you to subscribe to real time user account activities. It provides a way to receive real time Tweets, Direct Messages, and...", Social
60,ReviewSpotter API,/api/reviewspotter," The ReviewSpotter API is used to create accounts, manage application settings, manage reviews, manage conversations, and more. The API responds in JSON format. ReviewSpotter offers the means to...", Marketing
61,Leezair Partner API,/api/leezair-partner," Leezair allows developers to source unique experiences, tours and activities around the world, check availabilities in real time and process bookings for your customers or existing audience. Access...", Tourism
62,1LINK.IO API,/api/1linkio," The 1LINK.IO API allows you to create, edit and get link, simplify the access to your app providing one short link, users will be automatically redirected based on your settings, included landing...", Mobile
63,Home Connect Physical Appliance API,/api/home-connect-physical-appliance, Home Connect offers a RESTful API to control and monitor enabled home appliances. It requires an open appliance interface that enables you to connect your application to home appliances with Home..., Home Automation
64,Microsoft Bing Maps Query API,/api/microsoft-bing-maps-query," The Microsoft Bing Maps Query API enables application users to do map searches based on area, location, route, property type (such as restaurant), property ID, and more. For example, usersu can...", Mapping
65,Microsoft Bing Maps Geocode Dataflow API,/api/microsoft-bing-maps-geocode-dataflow," The Microsoft Bing Maps Geocode Dataflow API allows to create a Geocode job and upload data, get status of a Geocode job, download Geocode job results, and add a Geocode dataflow response description.", Mapping
66,Microsoft Bing Maps Distance Matrix API,/api/microsoft-bing-maps-distance-matrix, The Microsoft Bing Maps Distance Matrix API assists in calculating travel time and distances in many-to-many scenarios with an optional travel-time histogram., Mapping
67,Category,/category/all/apis?page=488&order=field_article_primary_category&sort=asc,N/A,N/A
68,FluidDATA API,/api/fluiddata," The FluidDATA API allows developers to search millions of podcast episodes for spoken words and phrases. This service includes over 200k podcast feeds covering news, politics, religion, education,...", Podcasts
69,Lenddo API,/api/lenddo, Lenddo is a provider of financial products such as identity verification and credit scoring. LenddoScore is a powerful predictor of credit scores that can be integrated with applications in order to..., Verification
70,Marvel API,/api/marvel," The Marvel GraphQL API allows you to build applications and integrations on the Marvel design platform. It provides a way to extend, automate, and manage the functionality without the need to use...", Design
71,MessageMedia Lookups API,/api/messagemedia-lookups," The MessageMedia Lookups API validates phone numbers by checking their validity, type and carrier records. It reduces the number of failed or undeliverable messages sent. Developers can authenticate...", Messaging
72,Sterling On Demand API,/api/sterling-demand," The Sterling On Demand REST API integrates background check functionalities with applications. The API is used to perform background checks on participants in online marketplaces, create trusted end...", Human Resources
73,Xink API,/api/xink," The Xink API is a REST platform that allows developers to manage employees, signatures, and images. OAuth 2.0 is the preferred method for authentication. Xink offers Email signature tools supported...", Email
74,Revolut Open Banking API,/api/revolut-open-banking," The Revolut Open Banking API allows you to integrate your Revolut for Business account to automate your business account operations. You can automate all payment processes including: Accounts,...", Financial
75,SIMPSY Voice API,/api/simpsy-voice," The SIMPSY Voice API offers a VoIP platorm with call tracking, call recording, virtual number support, and integrated CRM. Developers can use SIMPSY to provide customers with a virtual office number...", VoIP
76,SQLify API,/api/sqlify, SQLify adds data conversion to any third-party application. The API converts JSON data into query-able data (CSV or SQL). SQLify offers full API access for free. A paid plan is also available which..., Big Data
77,Microsoft Bing Maps Isochrone API,/api/microsoft-bing-maps-isochrone," The Microsoft Bing Maps Isochrone API, developers can determine a travel-time or travel-distance polygon for the area to reach, using time-specific or distance specific isolines.", Mapping
78,Category,/category/all/apis?page=489&order=field_article_primary_category&sort=asc,N/A,N/A
79,Yapily API,/api/yapily, The Yapily API enables service providers to securely connect to multiple retail banks to: 1) Retrieve users' financial data in real-time; 2) Initiate payments; 3) Normalized open data for bank..., Banking
80,Microsoft Bing Maps Snap to Road API,/api/microsoft-bing-maps-snap-to-road," The Microsoft Bing Maps Snap to Road API, developers can specify GPS points including latitude and longitude coordinates. Data can be collected along a route to return a corresponding a set of points...", Mapping
81,Microsoft Bing Maps Truck Routing API,/api/microsoft-bing-maps-truck-routing," The Microsoft Bing Maps Truck Routing API returns vehicle data, considering vehicles that exceed the standard size, speed limits, legal requirements for the transportation of goods including...", Mapping
82,Google Hangouts Chat API,/api/google-hangouts-chat," The Google Hangouts Chat API returns bot data to establish a chat connection. By using the REST API, developers can list the spaces that the bot has been added to, list the members that belong to a...", Chat
83,RouteSavvy API,/api/routesavvy, The RouteSavvy API allows you to add route optimization features to any application. It is a REST service for optimizing driving stop order for both GET and POST options. Requests use JSON formatted..., Transportation
84,Image Recognition API,/api/image-recognition, The Image Recognition API provided by Infinite Loop Development tags images by using the Inception TensorFlow model. The API can be submitted in base64 format. API Keys can be requested after..., Images
85,Veracode Admin API,/api/veracode-admin, The Veracode Admin API facilitates the creation and management of users and teams in the Veracode Platform. CA Veracode is a provider of application security and application testing services to..., Security
86,Veracode eLearner by ID API,/api/veracode-elearner-id, A call to the Veracode eLearner by ID returns a JSON-formatted user name data for the specified user ID. CA Veracode is a provider of application security and application testing services to..., Security
87,Veracode eLearning Progress API,/api/veracode-elearning-progress," The Veracode eLearning Progress API allows you to generate a collection of JSON-formatted progress status report cards of your eLearning users. For a user with the executive and eLeaning role, the...", Security
88,Exchange Rates API,/api/exchange-rates, The Exchange Rates API provides current and historical foreign exchange rates. Data is retrieved from published exchange rates by the European Central Bank. The API supports the latest foreign..., Currency
89,Category,/category/all/apis?page=490&order=field_article_primary_category&sort=asc,N/A,N/A
90,World Trading Data API,/api/world-trading-data," Worldtradingdata.com provides real time, historical end of day and intraday stock data as well as real time and historical end of day forex data. Worldtradingdata.com is committed to providing fast,...", Stocks
91,Veracode Flaw Report API,/api/veracode-flaw-report, The Veracode Flaw Report API provides a dual call platform for generating and downloading summarized histories of all flaws for a single or multiple applications. CA Veracode is a provider of..., Security
92,Veracode eLearning Users API,/api/veracode-elearning-users, The Veracode eLearning Users API returns JSON-formatted data of an organization’s eLearning users. CA Veracode is a provider of application security and application testing services to enterprises..., Security
93,Veracode eLearning Course by ID API,/api/veracode-elearning-course-id, A call to the Veracode eLearning Course by ID API returns a JSON-formatted course name for the specified ID. CA Veracode is a provider of application security and application testing services to..., Security
94,Veracode eLearning Courses Available API,/api/veracode-elearning-courses-available, A call to the Veracode eLearning Courses Available API returns JSON-formatted collection of your organization’s eLearning courses. CA Veracode is a provider of application security and application..., Security
95,Veracode Sandbox API,/api/veracode-sandbox, The Veracode Sandbox API is useful for automating the creation and listing pf developer sandboxes in addition to graduating sandbox scans to policy scans. CA Veracode is a provider of application..., Security
96,mod.io API,/api/modio," The mod.io API allows you to search, sort and share mods in-game, using an SDK or REST service. This modding platform for game developers is an open API for cross-platform mod support. mod.io...", Games
97,Stratfor Enterprise API,/api/stratfor-enterprise, The Stratfor Enterprise API allows you to interpret global events within the context of your existing applications and systems. The endpoints return information about Stratfor products offered at a..., Enterprise
98,Edamam Food Database API,/api/edamam-food-database," The Edamam Food Database API provides tools to find nutrition and diet data for generic foods, packaged foods and restaurant meals. It uses Natural Language Processing to extract food entities from...", Nutrition
99,Pims API,/api/pims," The API is designed for 3rd-party softwares, editors and partners. Its main purpose is to give access the core data of a Pims customer (i.e. events, ticket counts and promotions). Pims is an events...", Tickets
100,Category,/category/all/apis?page=491&order=field_article_primary_category&sort=asc,N/A,N/A
101,Top Bottom Center API,/api/top-bottom-center, The Top Bottom Center free API can be used to classify articles based on their political bias. Max 200 requests per day that display JSON responses. Python 3 example available. Top Bottom Center uses..., News Services
102,Veracode VAST API,/api/veracode-vast, The Veracode Vendor Application Security Testing (VAST) API supports th automation of vendor and enterprise tasks. CA Veracode is a provider of application security and application testing services..., Security
103,Veracode DynamicDS API,/api/veracode-dynamicds, The Veracode DynamicDS API provides multiple calls for automating the procedures of creating and configuring DynamicDS requests. CA Veracode is a provider of application security and application..., Security
104,Veracode Mitigation and Comments API,/api/veracode-mitigation-and-comments, The Veracode Mitigation and Comments API supports the integration of flaw comments and the mitigation workflow tasks into IDEs and bug tracking platforms. CA Veracode is a provider of application..., Security
105,Veracode Results API,/api/veracode-results, The Veracode Results API provides access to a developer’s application assessment data via another application or script. CA Veracode is a provider of application security and application testing..., Security
106,Veracode Upload API,/api/veracode-upload, The Veracode Upload API can be used to build applications and upload binary modules in addition to checking prescan results and submitting static scan requests. CA Veracode is a provider of..., Security
107,Adobe Target Admin API,/api/adobe-target-admin," The Adobe Target Admin API allows developers to CRUD (Create, Read, Update and Delete) Activities, Audiences, and Offers. Requires Adobe Cloud subscription to access APIs. Adobe Target allows...", Customization
108,Adobe Target Reports API,/api/adobe-target-reports, The Adobe Target Reports API retrieves the performance report data for the AB activity referenced by the provided id. Users can retrieve peformance reports and activity reports with this API. Might..., Reporting
109,Adobe Target Profiles API,/api/adobe-target-profiles, The Adobe Target Profiles API creates and maintains a profile for every individual user. This profile is stored on the Target edge cluster and is updated in real time after every visit. Might require..., Profiles
110,sms77 SMS API,/api/sms77-sms," The sms77 SMS API allows developers to send SMS worldwide to any operator via the sms77 messaging gateway. It includes methods for sending SMS, getting delivery status reports, querying an account...", Messaging
111,Category,/category/all/apis?page=492&order=field_article_primary_category&sort=asc,N/A,N/A
112,WebsiteHosting API,/api/websitehosting," The WebsiteHosting API allows developers to discover where websites are hosted, how they perform on a global scale, their historical domain registration trends, and their host ratings. This API is...", Hosting
113,Contextual Web Search API,/api/contextual-web-search," Free and unlimited access to Contextual Web Search API. Billions of webpages, images and news with a single API call. The API returns a list of relevant results from a search query which include...", Search
114,Bloombox API,/api/bloombox," Bloombox offers a management platform for cannabis dispensaries. This platform features integration with lab results, automated menu updating, sorting and filtering tools, and rich analytics....", Drugs
115,Open Census API,/api/open-census," The Open Census is an indirect API that offers support in Go, Erlang, Java, Ruby, PHP, and Python, providing C++ SDKs with the names Stats and Trace APIs.", Library
116,ClimaCell Micro Weather API,/api/climacell-micro-weather, The ClimaCell Micro Weather API provides access to high resolution micro weather data for locations across the U.S. that supports full geolocation and geo­search capabilities. This REST service uses..., Weather
117,TruSTAR API,/api/trustar," The TruSTAR API offers access to TruSTAR's assets including reports, indicators, tags, and enclaves in JSON format. Enclaves are permission-controlled data repositories of security information. The...", Security
118,HubSpot Tickets API,/api/hubspot-tickets," The HubSpot Tickets API allows you to access services that represents a customer request for help, support, service, response, and more. It is an object in HubSpot CRM along with contacts, companies...", Merchants
119,HubSpot Products API,/api/hubspot-products," The HubSpot Products API allows you to access services that represent goods or services sold by your company. It is an object in HubSpot CRM along with contacts, companies and deals. Products CRM...", Marketing
120,HubSpot CRM Associations API,/api/hubspot-crm-associations," The HubSpot CRM Associations API allows you to manage associations between tickets, products, line items, companies, deals and more. Associations are defined based on the type of objects being...", Marketing
121,HubSpot CRM Object Properties API,/api/hubspot-crm-object-properties," The HubSpot CRM Object Properties API allows you to create custom properties for any CRM object, such as; line items, tickets or products. It provides a way to store any custom data, manage any...", Marketing
122,Category,/category/all/apis?page=493&order=field_article_primary_category&sort=asc,N/A,N/A
123,Aspose.HTML for Cloud API,/api/asposehtml-cloud," Aspose.HTML Cloud is a REST API that provides diverse file processing operations such as creation, manipulation, conversion, and rendering of HTML files. The API supports conversion to PDF, XPS or...", HTML5
124,Aspose.Video for Cloud API,/api/asposevideo-cloud," Aspose.Video Cloud is a REST based API that allows the editing of video file properties such as aspect ratio, bit rate, FPS, and resolution. Additionally, videos can be converted to different formats...", Video
125,Aspose.OMR for Cloud API,/api/asposeomr-cloud, Aspose.OMR Cloud is a REST based API that offers optical mark recognition functionalities to third-party applications. The API returns JSON formatted recognized data of popular image formats such as..., Forms
126,HubSpot Line Item API,/api/hubspot-line-item," The HubSpot Line Item API allows you to link products, along with specific information about the sale of a product, to your HubSpot deals. It represents a line in an order, with details that...", Marketing
127,HubSpot Ecommerce Bridge API,/api/hubspot-ecommerce-bridge, The HubSpot Ecommerce Bridge API is used for syncing eCommerce data into HubSpot. It defines mappings from your data schema to what is stored in HubSpot and applies those mappings each time data is..., Marketing
128,HubSpot Analytics API,/api/hubspot-analytics," The HubSpot Analytics API works with the functionality of various HubSpot reporting tools. It returns data that will mimic the data you see in these tools. Retrieve analytics for data breakdowns,...", Marketing
129,GitHub Checks API,/api/github-checks," The GitHub Checks API lets you send detailed information about the checks your integrations run. It allows you to view feedback from code checks directly in the pull request view, view the code that...", Testing
130,Adobe Sign API,/api/adobe-sign," The Adobe Sign API in REST architecture integrates electronic signature features. Developers can authenticate with OAuth access token to implement agreements, transient documents, views, search,...", Electronic Signature
131,GoWatchIt API,/api/gowatchit, The GoWatchIt API allows developers to get home video availability information at an enterprise level. Developers can use the GoWatchIt API to build a complete film and TV portal that includes..., Search
132,LocationIQ Geocoding API,/api/locationiq-geocoding," The LocationIQ Geocoding API allows developers to perform geocoding and reverse geocoding operations. The API also allows developers to access maps, nearby points of interest, nearby countries, and...", Location
133,Category,/category/all/apis?page=494&order=field_article_primary_category&sort=asc,N/A,N/A
134,Google Maps Street View API,/api/google-maps-street-view," The Google Street View API allows you to embed a static Street View panorama or thumbnail into your web page. The viewport is defined with URL parameters sent through a standard HTTP request, and is...", Mapping
135,WorldCup 2018 API,/api/worldcup-2018," The WorldCup 2018 API offers JSON formatted data related to teams, matches, stadiums, and players. Data is provided in English, Vietnamese, Chinese, Thai, Japanese, and Korean. The API employs API...", Sports
136,GroupDocs.Conversion Java API,/api/groupdocsconversion-java, The API is a multi-format document conversion service designed as middleware for Java applications. It allows you to enhance your app with the capability to convert back and forth over 50 document..., Conversions
137,GroupDocs.Annotation .Net API,/api/groupdocsannotation-net," GroupDocs.Annotation for .NET offers advance set of APIs to add, edit or customize annotations to document pages in C#, ASP.NET and any type of .NET applications. You can easily annotate a variety of...", Documents
138,GroupDocs.Annotation Java API,/api/groupdocsannotation-java," The API allows you to enhance your Java applications with document viewing and annotation functionality that supports Microsoft Word DOCX, Excel XLSX, PowerPoint PPTX and PDF documents. It enables...", Documents
139,GroupDocs.Viewer Java API,/api/groupdocsviewer-java," The API is a file viewer for rendering documents and image formats that rasterizes documents and images, renders text and converts them. It converts documents into SVG+HTML+CSS and Images that...", Documents
140,GroupDocs.Viewer .Net API,/api/groupdocsviewer-net," GroupDocs.Viewer for .NET is an advanced multi-format document viewer API to display over 95+ document types including Word Processing (DOC, DOCX), Excel Spreadsheets (XLS, XLSX), PowerPoint...", Documents
141,Google Maps Geocoding JavaScript API,/api/google-maps-geocoding-javascript, Google Maps Geocoding JavaSCript provides a geocoder class for geocoding and reverse geocoding dynamically from the users input. The API allows you to find the address for a given place ID and..., Mapping
142,Shopify GraphQL Admin API,/api/shopify-graphql-admin, The Shopify GraphQL Admin API allows you to build applications and other integrations for the Shopify admin using GraphQL. It provides a way to create applications for various stages of a store that..., Merchants
143,Google Photos API,/api/google-photos," The Google Photos Library API allows you to read, write, and share photos and videos in Google Photos. The API is a Restful API with a JSON Payload that includes support for; Library, Albums, Media...", Images
144,Category,/category/all/apis?page=495&order=field_article_primary_category&sort=asc,N/A,N/A
145,karix.io Message API,/api/karixio-message," The karix.io Message API allows developers to interact with the Karix platform to send single or bulk 2-way SMS to over 200 countries. The API can also be used to query the user's account, set up...", Telephony
146,Nexway MONETIZE API,/api/nexway-monetize, The Nexway Monetize API is a modular and scalable digital commerce Platform. All services are 100% accessible through REST API and SaaS user interface. Implement in one click a digital purchase..., eCommerce
147,Nexway CONNECT API,/api/nexway-connect, The Nexway Connect API provides standard interface to collect product catalog data (Product Feed) and to manage purchase order (REST API). Nexway manages the complexity of business relationship with..., eCommerce
148,Rossum Elis Invoice Extraction API,/api/rossum-elis-invoice-extraction," The Rossum Elis Invoice Extraction API provides a universal invoice extraction service based on Artificial Intelligence. API currently supports English (UK, US and world regions), German (DE region)...", Accounting
149,Citibank Utilities API,/api/citibank-utilities," The Citibank Utilities API allows you to retrieve an array of valid values, field properties and validations applied for a specific market. This simplifies multimarket app development and helps to...", Banking
150,Citibank Pay with Points API,/api/citibank-pay-points," The Pay with Points API lets Citi customers use their Citi Points to pay for all or part of a transaction on your app. To simplify integration, transaction payments are processed through your...", Rewards
151,Citibank Onboarding API,/api/citibank-onboarding, The Citibank Onboarding API allows you to initiate the basic account opening process for new Citi customers. The resources allow you to present eligible products send applications for screening and..., Banking
152,Citibank Money Movement API,/api/citibank-money-movement," The Citibank Money Movement API allows you to move money within the market of the account of the Citi customer who authorized your app.
The API covers three types of transfers:
Personal means...", Banking
153,Citibank Cards API,/api/citibank-cards," Give Citi customers the ability to manage their credit and debit cards
The Citibank Cards API allows you to perform actions on the actual credit cards of the Citi Customer who authorized your app...", Banking
154,Citibank Customers API,/api/citibank-customers," The Citibank Customers API allows you to retrieve basic Citi customer information such as name, mailing address, email address and phone numbers. The API can also automatically populate forms so a...", Banking
155,Category,/category/all/apis?page=496&order=field_article_primary_category&sort=asc,N/A,N/A
156,Citibank Accounts API,/api/citibank-accounts," The Citibank Accounts API allows you to retrieve account and transaction data for Citi Customers who have authorized your app. In most cases, you'll want to request a summary of all accounts first,...", Banking
157,Google Maps Directions Javascript API,/api/google-maps-directions-javascript," The Google Directions Javascript API allows you to calculate directions between locations to search for; modes of transportation, transit, driving, walking, cycling and more. Google is a technology...", Mapping
